1 -56.1505 125.533
2 -66.0076 131.703
3 -64.7313 131.028
4 -58.3459 130.843
5 -56.5364 129.787
6 -58.8674 130.35
7 -58.339 132.735
8 -53.9487 132.176
9 -55.9368 132.942
10 -56.6491 136.034
11 -54.5207 137.625
12 -58.9654 139.271
13 -51.0136 136.276
14 -31.8213 132.364
15 -37.1747 133.029
16 -43.9807 134.491
17 -39.913 139.181
18 -41.8221 146.107
19 -42.7883 143.144
20 -48.1695 141.894
21 -49.0946 147.205
22 -49.3082 151.945
23 -52.9858 152.552
24 -47.8932 152.105
25 -49.7233 153.027
26 -55.4029 153.971
27 -50.7803 153.489
28 -46.2645 151.219
29 -48.706 147.504
30 -49.9818 148.59
31 -49.4018 149.777
32 -46.7524 145.916
33 -39.4245 139.666
34 -30.8004 135.827
35 -29.2087 131.108
36 -33.9007 124.664
37 -41.5415 124.695
38 -45.5055 132.276
39 -50.2044 138.87
40 -57.7955 140.19
41 -57.8077 140.13
42 -58.2673 141.685
43 -59.4341 145.994
44 -55.059 145.14
45 -60.1486 144.025
46 -59.3869 142.676
47 -57.3924 144.326
48 -59.3699 144.611
49 -54.7478 141.578
50 -49.3441 136.939
51 -49.222 139.661
52 -49.3302 144.066
53 -50.4281 144.755
54 -54.7719 144.023
55 -54.5082 145.838
56 -54.1125 148.794
57 -62.0413 144.034
58 -58.8559 136.585
59 -55.0602 136.541
60 -48.595 135.139
61 -51.8757 132.938
62 -61.1025 132.086
63 -56.4715 132.864
64 -56.1129 130.553
65 -56.9824 125.728
66 -55.2115 124.113
67 -56.6718 125.709
68 -55.6068 121.137
69 -52.2597 116.499
70 -50.6041 124.086
71 -57.7862 128.664
72 -58.3127 124.4
73 -52.4057 123.813
74 -47.2938 131.682
75 -49.547 131.361
76 -42.9212 125.48
77 -34.9447 128.532
78 -35.6323 131.518
79 -40.8799 129.986
80 -36.2139 124.924
81 -37.0612 127.687
82 -47.0618 133.803
83 -53.0381 134.894
84 -50.2639 132.108
85 -62.2858 137.374
86 -61.023 141.779
87 -57.3344 141.784
88 -61.7926 141.941
89 -67.4369 142.752
90 -57.3366 140.095
91 -59.8832 141.297
92 -70.4383 141.638
93 -73.0431 139.934
94 -57.139 136.825
95 -60.4223 140.803
96 -66.0785 141.446
97 -49.5643 136.743
98 -41.226 133.558
99 -35.1845 131.508
100 -35.0185 130.968
101 -35.7213 130.205
102 -33.7361 130.849
103 -42.3781 138.054
104 -38.4793 135.232
105 -32.0384 129.717
106 -40.0329 132.023
107 -37.0763 133.218
108 -29.9025 129.261
109 -37.268 131.346
110 -39.0244 133.466
111 -31.5603 135.75
112 -39.0403 138.819
113 -48.3158 139.591
114 -35.1965 134.674
115 -25.7406 134.827
116 -35.3556 138.822
117 -37.3709 139.573
118 -29.8865 140.183
119 -29.9184 143.844
120 -30.2328 142.188
121 -34.3516 144.914
122 -31.3787 142.494
123 -33.0623 138.675
124 -35.616 142.827
125 -34.5186 144.346
126 -43.7647 140.047
127 -45.7741 137.953
128 -36.8109 139.507
129 -35.2128 138.88
130 -37.9297 135.813
131 -38.8722 134.893
132 -37.8045 136.349
133 -30.2259 131.998
134 -36.9252 134.066
135 -35.3773 133.512
136 -33.8561 129.889
137 -39.181 130.699
138 -35.4977 129.534
139 -34.5963 126.088
140 -42.0102 124.602
141 -43.3541 126.012
142 -42.4317 126.781
143 -45.0049 128.353
144 -47.713 131.724
145 -53.8685 136.913
146 -45.4602 137.476
147 -47.0188 138.802
148 -55.2092 139.012
149 -52.7967 140.38
150 -48.3033 137.797
151 -54.4252 138.071
152 -58.5946 138.137
153 -59.037 142.051
154 -56.1961 141.885
155 -64.914 143.551
156 -61.9897 144.167
157 -57.6503 147.604
158 -60.9543 150.165
159 -57.4184 153.222
160 -50.5675 155.575
161 -49.0508 151.149
162 -51.477 150.656
163 -44.2522 155.073
164 -39.3779 155.907
165 -48.507 155.302
166 -47.276 159.052
167 -39.3311 158.419
168 -42.6776 153.303
169 -44.1379 150.284
170 -41.3532 152.99
171 -44.5925 150.898
172 -49.4708 146.507
173 -48.3774 151.966
174 -41.2265 155.019
175 -49.1788 152.653
176 -56.2062 154.838
177 -40.7651 158.174
178 -37.4523 156.109
179 -55.1181 158.912
180 -48.9343 159.084
181 -45.5135 158.568
182 -48.7434 153.384
183 -58.4887 149.221
184 -58.0361 149.839
185 -61.3995 151.844
186 -69.2235 151.051
187 -65.0501 148.01
188 -57.2099 146.437
189 -60.0222 144.855
190 -51.8491 143.035
191 -43.6495 143.244
192 -42.7784 140.053
193 -39.8644 137.35
194 -35.7601 139.857
195 -30.4761 138.632
196 -33.7107 135.004
197 -38.0706 135.458
198 -30.643 137.77
199 -33.4803 139.073
200 -43.8151 138.666
201 -39.0332 136.889
202 -35.606 140.597
203 -40.7788 144.547
204 -40.752 145.241
205 -41.0015 143.673
206 -42.9165 146.829
207 -44.3888 152.603
208 -42.1042 150.303
209 -31.0435 144.483
210 -32.3472 142.532
211 -33.2878 143.331
212 -24.2676 141.813
213 -23.8927 136.651
214 -27.2242 132.219
215 -37.2844 138.131
216 -34.8746 137.908
217 -34.601 131.783
218 -44.3839 130.721
219 -37.3647 126.764
220 -37.1628 124.671
221 -41.1533 120.534
222 -46.0964 121.299
223 -41.3669 127.101
224 -40.2077 127.695
225 -44.4338 125.491
226 -45.4887 127.15
227 -36.1793 125.198
228 -40.4379 124.875
229 -39.9864 127.548
230 -36.2514 127.322
231 -33.4561 123.329
232 -35.035 125.21
233 -34.1474 127.53
234 -31.227 127.463
235 -31.4303 119.751
236 -33.7359 120.89
237 -30.5398 125.267
238 -39.3223 124.933
239 -48.2787 119.65
240 -50.0669 122.181
241 -50.5304 125.845
242 -54.9944 125.595
243 -59.0134 125.677
244 -57.9116 130.207
245 -49.3348 129.47
246 -48.9301 126.834
247 -47.7071 125.369
248 -43.4774 129.942
249 -49.7523 133.878
250 -56.6069 136.618
251 -56.066 138.32
252 -57.8346 142.666
253 -56.3404 141.245
254 -59.0245 142.675
255 -58.5644 146.545
256 -58.1186 147.906
257 -60.0133 142.357
258 -59.2654 141.129
259 -59.8417 147.775
260 -68.3438 150.191
261 -68.2963 148.292
262 -62.0494 150.514
263 -59.307 148.613
264 -57.1136 145.836
265 -58.7842 146.723
266 -56.5499 145.311
267 -58.3598 136.793
268 -61.8939 132.699
269 -56.0916 136.103
270 -62.1322 136.978
271 -60.2453 124.558
272 -57.3827 122.128
273 -47.7875 127.69
274 -49.3865 126.535
275 -54.9013 122.362
276 -56.2971 124.451
277 -50.9133 127.702
278 -49.5841 125.287
279 -41.7279 123.139
280 -40.4067 130.46
281 -33.4046 131.435
282 -29.707 127.727
283 -27.4981 129.968
284 -26.5207 133.404
285 -35.8185 133.083
286 -47.0321 136.251
287 -47.2698 139.949
288 -52.4918 136.099
289 -53.6846 136.018
290 -57.5825 145.117
291 -62.2018 149.007
292 -59.0507 142.832
293 -56.8859 141.633
294 -55.5408 144.455
295 -56.5149 142.701
296 -61.3057 138.746
297 -55.6499 134.819
298 -49.3313 133.983
299 -50.3978 130.699
300 -44.8204 131.142
301 -41.8418 131.121
302 -36.361 127.298
303 -31.9777 123.872
304 -37.1557 126.328
305 -43.0949 130.77
306 -45.6728 133.323
307 -48.894 137.808
308 -50.9275 140.271
309 -50.3644 139.565
310 -52.4381 139.01
311 -55.2477 143.973
312 -50.8401 139.985
313 -45.5232 131.027
314 -46.1482 129.841
315 -49.6746 129.091
316 -53.6989 130.206
317 -56.6909 130.169
318 -50.3584 128.002
319 -61.5838 133.792
320 -71.9154 137.924
321 -70.6472 137.359
322 -65.5894 138.973
323 -63.0237 137.174
324 -63.8216 134.265
325 -60.1938 145.28
326 -54.1272 146.617
327 -56.5779 139.677
328 -50.2483 138.989
329 -47.7602 140.945
330 -49.9936 134.081
331 -46.5959 131.067
332 -40.6307 131.567
333 -36.5347 128.785
334 -35.6653 124.989
335 -40.2285 126.107
336 -36.3346 125.798
337 -46.1695 132.198
338 -53.4941 137.283
339 -53.0235 136.126
340 -57.6523 135.855
341 -63.5609 142.769
342 -57.6599 141.616
343 -52.7211 137.103
344 -51.2456 134.473
345 -51.0393 133.109
346 -46.6707 129.311
347 -45.283 128.828
348 -42.1972 126.339
349 -42.083 121.829
350 -42.0199 119.297
351 -41.9615 116.632
352 -38.3536 117.044
353 -44.7571 119.819
354 -42.7722 116.019
355 -51.5341 118.239
356 -47.3263 114.685
357 -38.6413 107.111
358 -45.106 113.026
359 -53.7174 116.389
360 -47.6516 111.207
361 -46.1576 112.861
362 -42.9544 116.512
363 -46.5996 116.778
364 -42.271 116.059
365 -38.4978 116.625
366 -33.0348 117.63
367 -23.539 115.628
368 -21.0125 117.777
369 -24.1877 122.222
370 -16.3525 122.08
371 -24.484 125.804
372 -24.533 126.457
373 -27.2179 128.171
374 -31.7963 132.491
375 -33.4193 131.143
376 -34.3311 128.164
377 -32.7113 133.765
378 -29.4038 134.924
379 -35.4648 129.264
380 -28.8027 123.184
381 -21.8135 123.053
382 -18.8997 121.322
383 -22.7751 121.331
384 -29.503 121.251
385 -23.6983 121.286
386 -19.3536 122.469
387 -26.9152 123.485
388 -27.0012 125.412
389 -38.1654 133.856
390 -42.8224 135.067
391 -33.5258 129.615
392 -32.6994 131.486
393 -35.7405 135.241
394 -47.9486 141.001
395 -56.235 145.129
396 -47.3091 146.505
397 -44.3544 145.167
398 -53.4303 141.951
399 -52.7861 140.913
400 -43.6044 136.502
401 -29.5205 123.544
402 -29.2014 117.163
403 -42.0596 128.368
404 -45.7299 133.58
405 -51.9202 133.204
406 -49.8286 129.643
407 -48.9586 134.512
408 -60.1951 139.885
409 -66.7727 141.675
410 -63.6323 146.151
411 -59.5701 143.032
412 -58.9258 134.956
413 -60.1045 136.592
414 -55.9214 136.636
415 -55.754 129.806
416 -55.4299 131.191
417 -50.2177 128.414
418 -51.6892 123.617
419 -62.435 123.161
420 -60.2431 119.601
421 -49.1391 116.001
422 -57.107 118.213
423 -68.5105 122.005
424 -70.3678 124.649
425 -64.743 125.863
426 -62.3636 123.634
427 -61.903 119.621
428 -67.0658 125.796
429 -69.8376 130.698
430 -69.0723 135.782
431 -62.5108 140.915
432 -61.4259 141.853
433 -63.4708 138.136
434 -53.7775 137.571
435 -44.403 133.992
436 -51.1784 131.459
437 -55.4447 128.767
438 -56.5813 131.287
439 -62.1864 136.196
440 -66.0508 135.207
441 -66.9781 131.187
442 -64.4121 131.155
443 -59.6093 133.467
444 -64.4831 133.499
445 -59.5213 131.433
446 -55.3453 133.351
447 -53.8142 134.694
448 -54.2209 134.596
449 -53.1011 133.583
450 -45.7218 133.433
451 -41.9412 132.171
452 -45.4975 132.275
453 -45.5899 130.541
454 -45.4908 134.098
455 -47.5657 135.048
456 -44.5242 133.039
457 -45.3799 134.587
458 -48.6703 133.835
459 -56.7824 134.979
460 -59.8759 143.359
461 -55.0296 146.383
462 -54.1706 144.133
463 -58.4385 145.745
464 -60.4216 151.668
465 -59.8255 153.871
466 -60.6759 150.99
467 -58.368 145.716
468 -54.3175 143.596
469 -60.2122 146.774
470 -54.6491 146.276
471 -44.8956 143.918
472 -32.6032 136.766
473 -25.825 132.753
474 -24.8082 133.718
475 -31.2231 135.352
