     1	125.533
     2	126.334
     3	127.061
     4	127.721
     5	128.341
     6	128.948
     7	129.559
     8	130.171
     9	130.757
    10	131.28
    11	131.703
    12	131.997
    13	132.151
    14	132.174
    15	132.09
    16	131.934
    17	131.739
    18	131.535
    19	131.342
    20	131.171
    21	131.028
    22	130.916
    23	130.84
    24	130.803
    25	130.804
    26	130.836
    27	130.883
    28	130.923
    29	130.934
    30	130.906
    31	130.843
    32	130.76
    33	130.68
    34	130.62
    35	130.583
    36	130.556
    37	130.514
    38	130.427
    39	130.273
    40	130.051
    41	129.787
    42	129.526
    43	129.325
    44	129.228
    45	129.259
    46	129.411
    47	129.643
    48	129.9
    49	130.124
    50	130.276
    51	130.35
    52	130.378
    53	130.415
    54	130.525
    55	130.752
    56	131.104
    57	131.543
    58	132.001
    59	132.392
    60	132.647
    61	132.735
    62	132.668
    63	132.5
    64	132.308
    65	132.164
    66	132.11
    67	132.146
    68	132.231
    69	132.301
    70	132.295
    71	132.176
    72	131.947
    73	131.651
    74	131.363
    75	131.163
    76	131.118
    77	131.259
    78	131.572
    79	132.005
    80	132.485
    81	132.942
    82	133.33
    83	133.635
    84	133.879
    85	134.1
    86	134.341
    87	134.632
    88	134.974
    89	135.347
    90	135.713
    91	136.033
    92	136.278
    93	136.443
    94	136.543
    95	136.609
    96	136.676
    97	136.773
    98	136.916
    99	137.111
   100	137.352
   101	137.626
   102	137.917
   103	138.214
   104	138.502
   105	138.769
   106	139.004
   107	139.19
   108	139.315
   109	139.369
   110	139.351
   111	139.271
   112	139.146
   113	138.993
   114	138.826
   115	138.647
   116	138.444
   117	138.19
   118	137.856
   119	137.421
   120	136.884
   121	136.276
   122	135.648
   123	135.061
   124	134.564
   125	134.175
   126	133.878
   127	133.629
   128	133.378
   129	133.083
   130	132.737
   131	132.364
   132	132.017
   133	131.757
   134	131.633
   135	131.664
   136	131.838
   137	132.109
   138	132.418
   139	132.701
   140	132.911
   141	133.029
   142	133.069
   143	133.073
   144	133.095
   145	133.184
   146	133.363
   147	133.618
   148	133.909
   149	134.178
   150	134.379
   151	134.491
   152	134.531
   153	134.554
   154	134.633
   155	134.841
   156	135.229
   157	135.808
   158	136.551
   159	137.403
   160	138.3
   161	139.182
   162	140.019
   163	140.806
   164	141.56
   165	142.307
   166	143.065
   167	143.829
   168	144.566
   169	145.227
